District,Extended School Services,Preschool                           ,Safe  Schools,Flex Focus (Combined total of the 3 programs) ,State Agency Childern (KECSAC) ,Gifted Talented,Read to Achieve,Community Education,Local Area Vocational Centers ,20% Vocational Funds,Math Achievement Fund,Total Allocation
Washington County," $58,937.00 "," $221,876.00 "," $40,196.00 "," $321,009.00 ",," $19,506.00 "," $94,400.00 "," $20,000.00 ",,,," $454,915.00 "
Wayne County," $116,781.00 "," $497,873.00 "," $57,116.00 "," $671,770.00 "," $279,953.00 "," $57,497.00 "," $94,400.00 "," $20,000.00 ",,," $48,400.00 "," $1,172,020.00 "
Webster County," $75,693.00 "," $226,427.00 "," $46,521.00 "," $348,641.00 ",," $33,953.00 ",," $20,000.00 ",,,," $402,594.00 "
West Point Ind.," $15,000.00 "," $40,464.00 "," $21,378.00 "," $76,842.00 ",," $9,744.00 ",,,,,," $86,586.00 "
Whitley County," $163,938.00 "," $436,163.00 "," $68,706.00 "," $668,807.00 ",," $58,239.00 "," $283,200.00 ",,,," $290,400.00 "," $1,300,646.00 "
Williamsburg Ind.," $29,116.00 "," $163,204.00 "," $29,585.00 "," $221,905.00 ",," $19,091.00 "," $47,200.00 ",,,,," $288,196.00 "
Williamstown Ind.," $27,591.00 "," $47,208.00 "," $29,977.00 "," $104,776.00 ",," $19,091.00 ",,,,,," $123,867.00 "
Wolfe County," $49,641.00 ", $-   ," $35,202.00 "," $84,843.00 "," $138,005.00 "," $19,091.00 "," $94,400.00 "," $20,000.00 ",,," $48,400.00 "," $404,739.00 "
Woodford County," $136,820.00 "," $452,685.00 "," $68,797.00 "," $658,302.00 ",," $38,486.00 "," $141,600.00 "," $20,000.00 ",,,," $858,388.00 "
District Totals," $23,407,974.00 "," $76,968,311.00 "," $11,468,045.00 "," $111,844,330.00 "," $8,583,911.00 "," $6,179,227.00 "," $14,160,000.00 "," $1,860,000.00 ", $-   , $-   ," $4,694,800.00 "," $147,322,268.00 "
KSB," $15,000.00 ", $-   ," $20,000.00 ", $-   , $-   ," $11,000.00 ", $-   , $-   , $-   , $-   , $-   ," $46,000.00 "
KSD," $15,000.00 "," $19,218.00 "," $20,000.00 ", $-   , $-   ," $11,000.00 ", $-   , $-   , $-   , $-   , $-   ," $65,218.00 "
Grand Totals," $23,437,974.00 "," $76,987,529.00 "," $11,508,045.00 "," $111,844,330.00 "," $8,583,911.00 "," $6,201,227.00 "," $14,160,000.00 "," $1,860,000.00 ", $-   , $-   ," $4,694,800.00 "," $147,433,486.00 "
,,,,,,,,,,,,
"Any grants not listed, please contact Teri Mason at teri.mason@education.ky.gov or 502.564.1979",,,,,,,,,,,,
